id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date
6k9DUKMJpWvu6eFG3O64Lg,Subterranean Homesick Blues,Bringing It All Back Home,1lPoRKSgZHQAYXxzBsOQ7v,['Bob Dylan'],['74ASZWbe4lXaubB36ztrGX'],1,1,False,0.5760000000000001,0.727,4,-9.973,0,0.05,0.7020000000000001,0.0,0.324,0.7509999999999999,173.854,141293,4.0,1965,1965-03-22
2itBkHBUxGl4VfDj4HNyoD,She Belongs to Me,Bringing It All Back Home,1lPoRKSgZHQAYXxzBsOQ7v,['Bob Dylan'],['74ASZWbe4lXaubB36ztrGX'],2,1,False,0.7290000000000001,0.382,9,-14.07,1,0.0367,0.6990000000000001,0.0,0.152,0.637,112.179,166707,4.0,1965,1965-03-22
5rGD8FFgHw74cp3RPhucyg,Maggie's Farm,Bringing It All Back Home,1lPoRKSgZHQAYXxzBsOQ7v,['Bob Dylan'],['74ASZWbe4lXaubB36ztrGX'],3,1,False,0.415,0.72,7,-11.177,1,0.0492,0.481,0.0,0.185,0.619,176.785,234627,4.0,1965,1965-03-22
2FDTgrYDUdQKyGmtynEk90,Love Minus Zero,Bringing It All Back Home,1lPoRKSgZHQAYXxzBsOQ7v,['Bob Dylan'],['74ASZWbe4lXaubB36ztrGX'],4,1,False,0.7020000000000001,0.56,4,-12.323,1,0.0342,0.5710000000000001,0.0,0.109,0.889,125.452,171107,4.0,1965,1965-03-22
0QWvnpH7daskoXwKa59xGT,Outlaw Blues,Bringing It All Back Home,1lPoRKSgZHQAYXxzBsOQ7v,['Bob Dylan'],['74ASZWbe4lXaubB36ztrGX'],5,1,False,0.655,0.71,9,-10.877,1,0.0281,0.7240000000000001,6.76e-06,0.13,0.8859999999999999,89.65799999999999,184267,4.0,1965,1965-03-22
1kvqv4axiWkxOdRz017sQZ,On the Road Again,Bringing It All Back Home,1lPoRKSgZHQAYXxzBsOQ7v,['Bob Dylan'],['74ASZWbe4lXaubB36ztrGX'],6,1,False,0.77,0.6459999999999999,9,-10.723,1,0.0684,0.57,0.0,0.1369999999999999,0.7829999999999999,118.771,155427,4.0,1965,1965-03-22
5ka7NFOlZUpVLJmA2tO0o4,Bob Dylan's 115th Dream,Bringing It All Back Home,1lPoRKSgZHQAYXxzBsOQ7v,['Bob Dylan'],['74ASZWbe4lXaubB36ztrGX'],7,1,False,0.6659999999999999,0.617,7,-10.851,1,0.0628,0.565,0.0,0.0498,0.764,105.648,389800,4.0,1965,1965-03-22
3RkQ3UwOyPqpIiIvGVewuU,Mr. Tambourine Man,Bringing It All Back Home,1lPoRKSgZHQAYXxzBsOQ7v,['Bob Dylan'],['74ASZWbe4lXaubB36ztrGX'],8,1,False,0.39,0.31,5,-14.545,1,0.0676,0.794,0.0,0.379,0.584,177.515,330533,4.0,1965,1965-03-22
3K10pmwoFZt5N6ESWvDQkv,Gates of Eden,Bringing It All Back Home,1lPoRKSgZHQAYXxzBsOQ7v,['Bob Dylan'],['74ASZWbe4lXaubB36ztrGX'],9,1,False,0.44,0.213,7,-14.978,1,0.0504,0.527,0.0,0.103,0.433,181.322,340040,3.0,1965,1965-03-22
5Oer8yskMaCGXwGSfM7xr9,"It's Alright, Ma (I'm Only Bleeding)",Bringing It All Back Home,1lPoRKSgZHQAYXxzBsOQ7v,['Bob Dylan'],['74ASZWbe4lXaubB36ztrGX'],10,1,False,0.6809999999999999,0.257,4,-15.348,1,0.0695,0.597,0.0,0.161,0.5660000000000001,115.867,449093,4.0,1965,1965-03-22
